threshold,image_index,dataset_index,original_bytes,payload_bits,payload_bytes,header_bytes,file_bytes,file_bpp,payload_bpp,predicted_bits,omitted_fraction,incorrect_omitted_predictions,omitted_error_rate,mse,mae,psnr_db,ssim,bit_error_rate,encode_seconds,decode_seconds,raw_payload_bytes,zlib_payload_bytes,payload_zlib_to_raw_ratio,first_incorrect_omission,mean_gap_between_errors,max_error_run,error_runs,mse_before_first_error_pixel,mse_after_first_error_pixel,range_payload_bytes,range_file_bytes,range_file_bpp,range_decode_seconds,encoder_decoder_equal
0.5,0,712,1024,0,0,34,34,0.265625,0.0,8192,1.0,4421,0.5396728515625,21221.900390625,139.0234375,4.862960891156291,0.13636016944958404,0.5396728515625,0.15588408984375235,0.1438781476562525,0,8,,1,1.852714932126697,12,2096,,21221.900390625,4,38,0.296875,0.13986034687499682,True
0.5,1,24774,1024,0,0,34,34,0.265625,0.0,8192,1.0,4247,0.5184326171875,26211.5361328125,152.6669921875,3.945878872522984,0.05245298155288651,0.5184326171875,0.15588408984375235,0.1438781476562525,0,8,,0,1.9288742345737164,8,2201,,26211.5361328125,4,38,0.296875,0.13986034687499682,True
0.5,2,45142,1024,0,0,34,34,0.265625,0.0,8192,1.0,4348,0.53076171875,31389.7021484375,172.7412109375,3.162931660950337,0.04775290993213175,0.53076171875,0.15588408984375235,0.1438781476562525,0,8,,0,1.883367839889579,8,2262,,31389.7021484375,4,38,0.296875,0.13986034687499682,True
0.5,3,27119,1024,0,0,34,34,0.265625,0.0,8192,1.0,2533,0.3092041015625,13518.4150390625,72.7802734375,6.82154584953097,0.07200111569928044,0.3092041015625,0.15588408984375235,0.1438781476562525,0,8,,7,3.2322274881516586,35,1206,,13518.4150390625,4,38,0.296875,0.13986034687499682,True
0.5,4,21139,1024,0,0,34,34,0.265625,0.0,8192,1.0,4538,0.553955078125,29471.44921875,167.080078125,3.4367886864773416,0.11313809741688231,0.553955078125,0.15588408984375235,0.1438781476562525,0,8,,0,1.8051575931232091,8,2215,,29471.44921875,4,38,0.296875,0.13986034687499682,True
0.5,5,19129,1024,0,0,34,34,0.265625,0.0,8192,1.0,4155,0.5072021484375,22942.6318359375,141.2119140625,4.524371248848772,0.05319895517974676,0.5072021484375,0.15588408984375235,0.1438781476562525,0,8,,1,1.9713529128550795,8,2277,,22942.6318359375,4,38,0.296875,0.13986034687499682,True
0.5,6,6433,1024,0,0,34,34,0.265625,0.0,8192,1.0,4207,0.5135498046875,27219.0419921875,162.9794921875,3.78207525262473,0.11307724904432832,0.5135498046875,0.15588408984375235,0.1438781476562525,0,8,,0,1.9474560152163576,8,2405,,27219.0419921875,4,38,0.296875,0.13986034687499682,True
0.5,7,38854,1024,0,0,34,34,0.265625,0.0,8192,1.0,4334,0.529052734375,25430.3447265625,149.9482421875,4.077281134791019,0.05268744412828342,0.529052734375,0.15588408984375235,0.1438781476562525,0,8,,1,1.8894530348488345,8,2150,,25430.3447265625,4,38,0.296875,0.13986034687499682,True
0.5,8,22489,1024,0,0,34,34,0.265625,0.0,8192,1.0,4345,0.5303955078125,26285.1728515625,156.9111328125,3.933695235791709,0.09806645519220622,0.5303955078125,0.15588408984375235,0.1438781476562525,0,8,,0,1.8855893186003683,9,2174,,26285.1728515625,4,38,0.296875,0.13986034687499682,True
0.5,9,31104,1024,0,0,34,34,0.265625,0.0,8192,1.0,3907,0.4769287109375,14995.6875,97.564453125,6.371139794277938,0.09175849348881226,0.4769287109375,0.15588408984375235,0.1438781476562525,0,8,,3,2.0962621607782896,8,2085,,14995.6875,4,38,0.296875,0.13986034687499682,True
