run,image,encode_seconds,decode_seconds
0,0,2.3612599999905797,2.3516690999967977
0,1,2.3502123999933247,2.395133400001214
0,2,2.3828024999966146,2.3422019999998156
0,3,2.3862851000012597,2.394359900004929
0,4,2.380616199996439,2.331180699999095
0,5,2.375260900007561,2.3283293999993475
0,6,2.346867400003248,2.3121435000066413
0,7,2.3256994999974268,2.3438966999965487
0,8,2.3560110999969766,2.3393058000074234
0,9,2.3811240999930305,2.3571406999981264
0,10,2.367708899997524,2.3432561999943573
0,11,2.363751400000183,2.353251200009254
0,12,2.368474299990339,2.3469255000090925
0,13,2.3891011999949114,2.3307031000003917
0,14,2.356901999999536,2.366343000001507
0,15,2.3844953999941936,2.3227592000039294
0,16,2.4075852999958443,2.3359548000007635
0,17,2.391448299997137,2.3421635999984574
0,18,2.369709699996747,2.355458499994711
0,19,2.383230299994466,2.3359555000060936
0,20,2.364132399990922,2.365956900001038
0,21,2.37842969999474,2.3664036999980453
0,22,2.3815633000049274,2.409193300001789
0,23,2.3726514000009047,2.3365444999944884
0,24,2.3418968000041787,2.3745210000051884
0,25,2.3642594999982975,2.330423100007465
0,26,2.3558697999978904,2.3553221999900416
0,27,2.34481730000698,2.334820899995975
0,28,2.3613499000057345,2.340795899988734
0,29,2.3487721999990754,2.4435671999963233
0,30,2.471866600011708,2.3573278000112623
0,31,2.3380618000082904,2.4743306999880588
0,32,2.5017038000078173,2.3811225999961607
0,33,2.3806150000018533,2.3866541999886977
0,34,2.3304961000103503,2.3869479999993928
0,35,2.3581073000095785,2.456855500000529
0,36,2.37371629998961,2.352336900003138
0,37,2.3791494999895804,2.3570739999995567
0,38,2.3520007000042824,2.3748365999927046
0,39,2.3597022000030847,2.4044118000019807
0,40,2.4084595999884186,2.4876223000028403
0,41,2.656588500001817,2.648872499994468
0,42,2.658241099998122,2.589726900012465
0,43,2.5303013999946415,2.4170822000014596
0,44,2.4216060000035213,2.373764600008144
0,45,2.4556096000014804,2.4074690000124974
0,46,2.373574800003553,2.370604600000661
0,47,2.360663499988732,2.5484116000006907
0,48,2.4942503000056604,2.3773471000022255
0,49,2.3554655999905663,2.3821468999958597
0,50,2.344246700013173,2.381992299997364
0,51,2.3524940999923274,2.3969118999957573
0,52,2.381697200005874,2.367878799996106
0,53,2.394791200000327,2.3630822999984957
0,54,2.37976979999803,2.391130999996676
0,55,2.3469307999912417,2.376404700000421
0,56,2.3959687000024132,2.364199199990253
0,57,2.3918860999983735,2.3606257000064943
0,58,2.3816595999960555,2.3468908999930136
0,59,2.3714554000034695,2.334433700001682
0,60,2.3197515000065323,2.3384699000016553
0,61,2.360307400012971,2.3543263000028674
0,62,2.3652302999980748,2.3490862999897217
0,63,2.3950982999958796,2.323708700001589
0,64,2.3618543000047794,2.3678648000059184
0,65,2.3598575000069104,2.361068099999102
0,66,2.3468071999959648,2.360221700000693
0,67,2.341273900005035,2.3572821999987355
0,68,2.3658774999930756,2.342580500000622
0,69,2.3547839999955613,2.3409009000024525
0,70,2.3644261000008555,2.332250000006752
0,71,2.3976235000009183,2.3699022000073455
0,72,2.362215599991032,2.3602447000012035
0,73,2.366983400002937,2.367299199991976
0,74,2.372057100001257,2.367059199998039
0,75,2.3819401999935508,2.3771168000093894
0,76,2.4046326000097906,2.3528310999972746
0,77,2.352482799993595,2.358159600000363
0,78,2.362300900000264,2.3457626000017626
0,79,2.3660672000114573,2.34449330001371
0,80,2.3299792999896454,2.342023599994718
0,81,2.3838097999978345,2.3391181000042707
0,82,2.3585649999877205,2.3712940999976126
0,83,2.377018600003794,2.3586553999921307
0,84,2.3499259000091115,2.3390163000003668
0,85,2.4550769999914337,2.429759299993748
0,86,2.3677872999978717,2.3719167999952333
0,87,2.4042969000001904,2.405215099992347
0,88,2.3871088000014424,2.389557899994543
0,89,2.389386499999091,2.3591183999960776
