threshold,image_index,dataset_index,original_bytes,payload_bits,payload_bytes,header_bytes,file_bytes,file_bpp,payload_bpp,predicted_bits,omitted_fraction,incorrect_omitted_predictions,omitted_error_rate,mse,mae,psnr_db,ssim,bit_error_rate,encode_seconds,decode_seconds,raw_payload_bytes,zlib_payload_bytes,payload_zlib_to_raw_ratio,first_incorrect_omission,mean_gap_between_errors,max_error_run,error_runs,mse_before_first_error_pixel,mse_after_first_error_pixel,range_payload_bytes,range_file_bytes,range_file_bpp,range_decode_seconds,encoder_decoder_equal
0.5,0,712,1024,0,0,34,34,0.265625,0.0,8192,1.0,3902,0.476318359375,3745.400390625,46.93359375,12.395821094214082,0.16454026250162462,0.476318359375,0.170077353906251,0.16009656015626206,0,8,,5,2.098179953857985,12,1849,,3745.400390625,4,38,0.296875,0.16235299296874928,True
0.5,1,24774,1024,0,0,34,34,0.265625,0.0,8192,1.0,4344,0.5302734375,6115.9267578125,66.8974609375,10.266180850544327,0.06892661321973552,0.5302734375,0.170077353906251,0.16009656015626206,0,8,,0,1.8857932304858394,14,2031,,6115.9267578125,4,38,0.296875,0.16235299296874928,True
0.5,2,45142,1024,0,0,34,34,0.265625,0.0,8192,1.0,4591,0.5604248046875,7440.1123046875,79.4443359375,9.415008698196166,0.0659267748964234,0.5604248046875,0.170077353906251,0.16009656015626206,0,8,,0,1.7836601307189544,16,1856,,7440.1123046875,4,38,0.296875,0.16235299296874928,True
0.5,3,27119,1024,0,0,34,34,0.265625,0.0,8192,1.0,3388,0.41357421875,8759.5419921875,86.6669921875,8.70598961944776,0.06795911574989598,0.41357421875,0.170077353906251,0.16009656015626206,0,8,,1,2.41806908768822,9,1760,,8759.5419921875,4,38,0.296875,0.16235299296874928,True
0.5,4,21139,1024,0,0,34,34,0.265625,0.0,8192,1.0,4349,0.5308837890625,6608.951171875,72.28125,9.92947817631704,0.1521484419607184,0.5308837890625,0.170077353906251,0.16009656015626206,0,8,,0,1.8836246550137994,18,2063,,6608.951171875,4,38,0.296875,0.16235299296874928,True
0.5,5,19129,1024,0,0,34,34,0.265625,0.0,8192,1.0,4248,0.5185546875,5045.8056640625,62.2470703125,11.101498409349787,0.0716676541137308,0.5185546875,0.170077353906251,0.16009656015626206,0,8,,6,1.927007299270073,16,1988,,5045.8056640625,4,38,0.296875,0.16235299296874928,True
0.5,6,6433,1024,0,0,34,34,0.265625,0.0,8192,1.0,4706,0.574462890625,5143.9736328125,67.5673828125,11.017816270702095,0.1512132280109368,0.574462890625,0.170077353906251,0.16009656015626206,0,8,,0,1.7409139213602551,16,1873,,5143.9736328125,4,38,0.296875,0.16235299296874928,True
0.5,7,38854,1024,0,0,34,34,0.265625,0.0,8192,1.0,3893,0.4752197265625,5856.6123046875,61.5107421875,10.454338852619674,0.06720120102478883,0.4752197265625,0.170077353906251,0.16009656015626206,0,8,,2,2.103288797533402,16,1893,,5856.6123046875,4,38,0.296875,0.16235299296874928,True
0.5,8,22489,1024,0,0,34,34,0.265625,0.0,8192,1.0,4414,0.538818359375,5375.3955078125,64.1962890625,10.826699368307269,0.12529149741273737,0.538818359375,0.170077353906251,0.16009656015626206,0,8,,0,1.8561069567187853,21,1925,,5375.3955078125,4,38,0.296875,0.16235299296874928,True
0.5,9,31104,1024,0,0,34,34,0.265625,0.0,8192,1.0,4100,0.50048828125,5478.4921875,61.955078125,10.744193141998426,0.09276571082268256,0.50048828125,0.170077353906251,0.16009656015626206,0,8,,1,1.9980483044645034,13,2025,,5478.4921875,4,38,0.296875,0.16235299296874928,True
0.5,10,21349,1024,0,0,34,34,0.265625,0.0,8192,1.0,4869,0.5943603515625,3198.2060546875,50.3740234375,13.081739197407149,0.11383317363196761,0.5943603515625,0.170077353906251,0.16009656015626206,0,8,,0,1.6817995069843878,15,1734,,3198.2060546875,4,38,0.296875,0.16235299296874928,True
0.5,11,29116,1024,0,0,34,34,0.265625,0.0,8192,1.0,4105,0.5010986328125,3578.2900390625,51.8134765625,12.594048213779509,0.10745467556068891,0.5010986328125,0.170077353906251,0.16009656015626206,0,8,,1,1.9953703703703705,14,1930,,3578.2900390625,4,38,0.296875,0.16235299296874928,True
0.5,12,10772,1024,0,0,34,34,0.265625,0.0,8192,1.0,4008,0.4892578125,6998.427734375,70.052734375,9.680798784223821,0.025943606596119752,0.4892578125,0.170077353906251,0.16009656015626206,0,8,,3,2.0434240079860246,13,2107,,6998.427734375,4,38,0.296875,0.16235299296874928,True
0.5,13,18332,1024,0,0,34,34,0.265625,0.0,8192,1.0,4232,0.5166015625,3555.9287109375,50.9072265625,12.621273151942585,0.0773195366811737,0.5166015625,0.170077353906251,0.16009656015626206,0,8,,2,1.9352398960056725,18,1995,,3555.9287109375,4,38,0.296875,0.16235299296874928,True
0.5,14,1003,1024,0,0,34,34,0.265625,0.0,8192,1.0,4142,0.505615234375,3285.1640625,46.123046875,12.965232975781246,0.07319772532159753,0.505615234375,0.170077353906251,0.16009656015626206,0,8,,1,1.9777831441680753,11,1836,,3285.1640625,4,38,0.296875,0.16235299296874928,True
0.5,15,22156,1024,0,0,34,34,0.265625,0.0,8192,1.0,4511,0.5506591796875,6874.3017578125,73.1025390625,9.75851768638941,0.0485757883634319,0.5506591796875,0.170077353906251,0.16009656015626206,0,8,,3,1.8152993348115298,23,2005,,6874.3017578125,4,38,0.296875,0.16235299296874928,True
0.5,16,26453,1024,0,0,34,34,0.265625,0.0,8192,1.0,4165,0.5084228515625,14617.2626953125,114.9052734375,6.482143088769999,0.06206360268652016,0.5084228515625,0.170077353906251,0.16009656015626206,0,8,,0,1.9670989433237271,15,2148,,14617.2626953125,4,38,0.296875,0.16235299296874928,True
0.5,17,17039,1024,0,0,34,34,0.265625,0.0,8192,1.0,3618,0.441650390625,1489.0009765625,33.0244140625,16.40185378283252,0.29116588736682275,0.441650390625,0.170077353906251,0.16009656015626206,0,8,,4,2.263478020458944,7,2251,,1489.0009765625,4,38,0.296875,0.16235299296874928,True
0.5,18,7166,1024,0,0,34,34,0.265625,0.0,8192,1.0,4206,0.513427734375,5030.8525390625,59.0615234375,11.114387731009007,0.12560862248612198,0.513427734375,0.170077353906251,0.16009656015626206,0,8,,1,1.947205707491082,23,1776,,5030.8525390625,4,38,0.296875,0.16235299296874928,True
0.5,19,48310,1024,0,0,34,34,0.265625,0.0,8192,1.0,4026,0.491455078125,3793.5302734375,52.2900390625,12.340368066620002,0.08870696598643203,0.491455078125,0.170077353906251,0.16009656015626206,0,8,,1,2.034782608695652,16,2110,,3793.5302734375,4,38,0.296875,0.16235299296874928,True
