threshold,image_index,dataset_index,original_bytes,payload_bits,payload_bytes,header_bytes,file_bytes,file_bpp,payload_bpp,predicted_bits,omitted_fraction,incorrect_omitted_predictions,omitted_error_rate,mse,mae,psnr_db,ssim,bit_error_rate,encode_seconds,decode_seconds,raw_payload_bytes,zlib_payload_bytes,payload_zlib_to_raw_ratio,first_incorrect_omission,mean_gap_between_errors,max_error_run,error_runs,mse_before_first_error_pixel,mse_after_first_error_pixel,range_payload_bytes,range_file_bytes,range_file_bpp,range_decode_seconds,encoder_decoder_equal
0.5,16,26453,1024,0,0,34,34,0.265625,0.0,8192,1.0,5124,0.62548828125,45527.556640625,209.16796875,1.548060175214549,0.040655272672371276,0.62548828125,0.14831124921875016,0.14772242343750008,0,8,,0,1.5986726527425337,9,1901,,45527.556640625,4,38,0.296875,0.1571689203125004,True
0.5,17,17039,1024,0,0,34,34,0.265625,0.0,8192,1.0,3663,0.4471435546875,4953.37890625,65.970703125,11.181788104748902,0.28961350019927806,0.4471435546875,0.14831124921875016,0.14772242343750008,0,8,,1,2.236209721463681,7,2119,,4953.37890625,4,38,0.296875,0.1571689203125004,True
0.5,18,7166,1024,0,0,34,34,0.265625,0.0,8192,1.0,4117,0.5025634765625,23972.15234375,146.796875,4.333733318801832,0.09723531870265606,0.5025634765625,0.14831124921875016,0.14772242343750008,0,8,,2,1.98955296404276,8,2142,,23972.15234375,4,38,0.296875,0.1571689203125004,True
0.5,19,48310,1024,0,0,34,34,0.265625,0.0,8192,1.0,3541,0.4322509765625,11688.1640625,89.08984375,7.453340618654919,0.08055718411976008,0.4322509765625,0.14831124921875016,0.14772242343750008,0,8,,5,2.311864406779661,8,2107,,11688.1640625,4,38,0.296875,0.1571689203125004,True
0.5,20,12187,1024,0,0,34,34,0.265625,0.0,8192,1.0,3920,0.478515625,12434.6318359375,103.7392578125,7.184474296445682,0.20643531950974905,0.478515625,0.14831124921875016,0.14772242343750008,0,8,,1,2.089818831334524,8,1996,,12434.6318359375,4,38,0.296875,0.1571689203125004,True
0.5,21,20284,1024,0,0,34,34,0.265625,0.0,8192,1.0,4143,0.5057373046875,12761.5087890625,109.8271484375,7.07178336950858,0.2379641967135693,0.5057373046875,0.14831124921875016,0.14772242343750008,0,8,,1,1.9773056494447128,8,2310,,12761.5087890625,4,38,0.296875,0.1571689203125004,True
0.5,22,1052,1024,0,0,34,34,0.265625,0.0,8192,1.0,4443,0.5423583984375,31724.36328125,172.228515625,3.1168744645150963,0.03580580498894915,0.5423583984375,0.14831124921875016,0.14772242343750008,0,8,,0,1.8435389464205314,23,2115,,31724.36328125,4,38,0.296875,0.1571689203125004,True
0.5,23,13752,1024,0,0,34,34,0.265625,0.0,8192,1.0,3953,0.4825439453125,9189.40625,93.408203125,8.497929094033452,0.391221413182337,0.4825439453125,0.14831124921875016,0.14772242343750008,0,8,,1,2.0718623481781377,8,2599,,9189.40625,4,38,0.296875,0.1571689203125004,True
0.5,24,37139,1024,0,0,34,34,0.265625,0.0,8192,1.0,4095,0.4998779296875,22272.646484375,130.703125,4.653085369513641,0.044385836094427616,0.4998779296875,0.14831124921875016,0.14772242343750008,0,8,,4,1.9995114802149487,8,2097,,22272.646484375,4,38,0.296875,0.1571689203125004,True
0.5,25,29727,1024,0,0,34,34,0.265625,0.0,8192,1.0,4161,0.5079345703125,23468.052734375,141.525390625,4.4260330543209,0.06575173357355653,0.5079345703125,0.14831124921875016,0.14772242343750008,0,8,,0,1.9689903846153847,9,2181,,23468.052734375,4,38,0.296875,0.1571689203125004,True
0.5,26,41854,1024,0,0,34,34,0.265625,0.0,8192,1.0,4260,0.52001953125,26163.1005859375,160.1201171875,3.953911499783182,0.17223158478443565,0.52001953125,0.14831124921875016,0.14772242343750008,0,8,,0,1.9227518196759803,8,2294,,26163.1005859375,4,38,0.296875,0.1571689203125004,True
0.5,27,40333,1024,0,0,34,34,0.265625,0.0,8192,1.0,4117,0.5025634765625,15007.2724609375,111.2841796875,6.367785935282147,0.059853925476555284,0.5025634765625,0.14831124921875016,0.14772242343750008,0,8,,0,1.989795918367347,8,2179,,15007.2724609375,4,38,0.296875,0.1571689203125004,True
0.5,28,33248,1024,0,0,34,34,0.265625,0.0,8192,1.0,3285,0.4010009765625,9965.7587890625,80.6845703125,8.145699895567418,0.17823945524290874,0.4010009765625,0.14831124921875016,0.14772242343750008,0,8,,375,2.3791108404384897,8,1829,0.0,10434.49591002045,4,38,0.296875,0.1571689203125004,True
0.5,29,9680,1024,0,0,34,34,0.265625,0.0,8192,1.0,4639,0.5662841796875,32740.283203125,165.41015625,2.9799792913277883,0.02643387400907882,0.5662841796875,0.14831124921875016,0.14772242343750008,0,8,,0,1.7660629581716256,9,1960,,32740.283203125,4,38,0.296875,0.1571689203125004,True
0.5,30,16805,1024,0,0,34,34,0.265625,0.0,8192,1.0,3856,0.470703125,11207.0458984375,97.2177734375,7.635892102783963,0.12436509913835682,0.470703125,0.14831124921875016,0.14772242343750008,0,8,,1,2.1234760051880675,8,2270,,11207.0458984375,4,38,0.296875,0.1571689203125004,True
0.5,31,14652,1024,0,0,34,34,0.265625,0.0,8192,1.0,4065,0.4962158203125,21421.4814453125,143.6044921875,4.822308588316108,0.181727633529614,0.4962158203125,0.14831124921875016,0.14772242343750008,0,8,,0,2.015501968503937,8,2349,,21421.4814453125,4,38,0.296875,0.1571689203125004,True
0.5,32,15793,1024,0,0,34,34,0.265625,0.0,8192,1.0,4871,0.5946044921875,44142.7392578125,204.8544921875,1.6822108125749191,0.0892037555448305,0.5946044921875,0.14831124921875016,0.14772242343750008,0,8,,0,1.6815195071868583,9,1908,,44142.7392578125,4,38,0.296875,0.1571689203125004,True
0.5,33,30210,1024,0,0,34,34,0.265625,0.0,8192,1.0,3410,0.416259765625,9004.015625,66.828125,8.586441208915613,0.30839765338958186,0.416259765625,0.14831124921875016,0.14772242343750008,0,8,,3,2.4018773833968905,69,1978,,9004.015625,4,38,0.296875,0.1571689203125004,True
0.5,34,47426,1024,0,0,34,34,0.265625,0.0,8192,1.0,4885,0.5963134765625,37656.5126953125,184.9150390625,2.372402625879214,0.03142667120574468,0.5963134765625,0.14831124921875016,0.14772242343750008,0,8,,1,1.6769041769041768,16,1954,,37656.5126953125,4,38,0.296875,0.1571689203125004,True
0.5,35,20875,1024,0,0,34,34,0.265625,0.0,8192,1.0,4409,0.5382080078125,30646.748046875,168.30078125,3.2669596293437104,0.053379866813225416,0.5382080078125,0.14831124921875016,0.14772242343750008,0,8,,0,1.8575317604355717,8,2176,,30646.748046875,4,38,0.296875,0.1571689203125004,True
0.5,36,4161,1024,0,0,34,34,0.265625,0.0,8192,1.0,4394,0.536376953125,25274.5458984375,143.3818359375,4.103969993971349,0.08625522361141902,0.536376953125,0.14831124921875016,0.14772242343750008,0,8,,0,1.864101980423401,11,1990,,25274.5458984375,4,38,0.296875,0.1571689203125004,True
0.5,37,40340,1024,0,0,34,34,0.265625,0.0,8192,1.0,3958,0.483154296875,17084.265625,121.39453125,5.804840456795633,0.13552046152407582,0.483154296875,0.14831124921875016,0.14772242343750008,0,8,,1,2.068991660348749,9,2303,,17084.265625,4,38,0.296875,0.1571689203125004,True
0.5,38,28286,1024,0,0,34,34,0.265625,0.0,8192,1.0,4364,0.53271484375,28644.2255859375,158.7666015625,3.5604327553905573,0.0926914108774955,0.53271484375,0.14831124921875016,0.14772242343750008,0,8,,0,1.8771487508595004,9,2123,,28644.2255859375,4,38,0.296875,0.1571689203125004,True
0.5,39,13256,1024,0,0,34,34,0.265625,0.0,8192,1.0,4105,0.5010986328125,16220.7099609375,119.1142578125,6.030105020303957,0.08677844484003053,0.5010986328125,0.14831124921875016,0.14772242343750008,0,8,,1,1.9946393762183237,8,2361,,16220.7099609375,4,38,0.296875,0.1571689203125004,True
0.5,40,48934,1024,0,0,34,34,0.265625,0.0,8192,1.0,4438,0.541748046875,32691.4287109375,167.4072265625,2.9864645993520815,0.022400758445961424,0.541748046875,0.14831124921875016,0.14772242343750008,0,8,,0,1.8451656524678837,8,2070,,32691.4287109375,4,38,0.296875,0.1571689203125004,True
0.5,41,11935,1024,0,0,34,34,0.265625,0.0,8192,1.0,3875,0.4730224609375,14514.82421875,113.703125,6.512685801758745,0.09229442507908124,0.4730224609375,0.14831124921875016,0.14772242343750008,0,8,,0,2.114352090862158,10,2160,,14514.82421875,4,38,0.296875,0.1571689203125004,True
0.5,42,48447,1024,0,0,34,34,0.265625,0.0,8192,1.0,3836,0.46826171875,17726.216796875,130.158203125,5.644643043171436,0.12374640659045513,0.46826171875,0.14831124921875016,0.14772242343750008,0,8,,0,2.1350717079530637,8,2074,,17726.216796875,4,38,0.296875,0.1571689203125004,True
0.5,43,15492,1024,0,0,34,34,0.265625,0.0,8192,1.0,4140,0.50537109375,16828.6005859375,123.6142578125,5.870323579683886,0.058490711021844784,0.50537109375,0.14831124921875016,0.14772242343750008,0,8,,1,1.9784972215510992,9,2153,,16828.6005859375,4,38,0.296875,0.1571689203125004,True
0.5,44,32513,1024,0,0,34,34,0.265625,0.0,8192,1.0,4180,0.51025390625,28090.0263671875,165.0849609375,3.6452821400813855,0.15889171596638418,0.51025390625,0.14831124921875016,0.14772242343750008,0,8,,1,1.9595597032782963,8,2194,,28090.0263671875,4,38,0.296875,0.1571689203125004,True
0.5,45,36099,1024,0,0,34,34,0.265625,0.0,8192,1.0,3817,0.4659423828125,20716.482421875,126.50390625,4.967643450484688,0.08272241554937378,0.4659423828125,0.14831124921875016,0.14772242343750008,0,8,,15,2.142557651991614,8,2067,0.0,20736.733137829913,4,38,0.296875,0.1571689203125004,True
0.5,46,39260,1024,0,0,34,34,0.265625,0.0,8192,1.0,3958,0.483154296875,25486.095703125,155.71484375,4.067770512699734,0.18267817854437504,0.483154296875,0.14831124921875016,0.14772242343750008,0,8,,0,2.0700025271670457,8,2286,,25486.095703125,4,38,0.296875,0.1571689203125004,True
