threshold,image_index,dataset_index,original_bytes,payload_bits,payload_bytes,header_bytes,file_bytes,file_bpp,payload_bpp,predicted_bits,omitted_fraction,incorrect_omitted_predictions,omitted_error_rate,mse,mae,psnr_db,ssim,bit_error_rate,encode_seconds,decode_seconds,raw_payload_bytes,zlib_payload_bytes,payload_zlib_to_raw_ratio,first_incorrect_omission,mean_gap_between_errors,max_error_run,error_runs,mse_before_first_error_pixel,mse_after_first_error_pixel,range_payload_bytes,range_file_bytes,range_file_bpp,range_decode_seconds,encoder_decoder_equal
0.5,10,21349,1024,0,0,34,34,0.265625,0.0,8192,1.0,4538,0.553955078125,3938.6416015625,56.8544921875,12.177338970796509,0.1121413274037521,0.553955078125,0.16855141874999902,0.16513288828124928,0,8,,0,1.8053780030857394,16,1937,,3938.6416015625,4,38,0.296875,0.1585932343749903,True
0.5,11,29116,1024,0,0,34,34,0.265625,0.0,8192,1.0,3888,0.474609375,3501.1826171875,51.3095703125,12.688655972698438,0.10750149354800619,0.474609375,0.16855141874999902,0.16513288828124928,0,8,,1,2.1070234113712374,12,2012,,3501.1826171875,4,38,0.296875,0.1585932343749903,True
0.5,12,10772,1024,0,0,34,34,0.265625,0.0,8192,1.0,4083,0.4984130859375,7757.43359375,73.109375,9.233622943031513,0.025507264159446347,0.4984130859375,0.16855141874999902,0.16513288828124928,0,8,,3,2.0056344928956396,14,1990,,7757.43359375,4,38,0.296875,0.1585932343749903,True
0.5,13,18332,1024,0,0,34,34,0.265625,0.0,8192,1.0,4239,0.5174560546875,4023.2802734375,53.5634765625,12.085000730225985,0.07627999460274179,0.5174560546875,0.16855141874999902,0.16513288828124928,0,8,,2,1.9322793770646531,14,1840,,4023.2802734375,4,38,0.296875,0.1585932343749903,True
0.5,14,1003,1024,0,0,34,34,0.265625,0.0,8192,1.0,4199,0.5125732421875,3786.763671875,50.205078125,12.348121587846453,0.07254684796393125,0.5125732421875,0.16855141874999902,0.16513288828124928,0,8,,1,1.9502143878037161,12,2064,,3786.763671875,4,38,0.296875,0.1585932343749903,True
0.5,15,22156,1024,0,0,34,34,0.265625,0.0,8192,1.0,4186,0.510986328125,7819.2001953125,77.8740234375,9.199180283357553,0.047240625723372176,0.510986328125,0.16855141874999902,0.16513288828124928,0,8,,3,1.956511350059737,16,1912,,7819.2001953125,4,38,0.296875,0.1585932343749903,True
0.5,16,26453,1024,0,0,34,34,0.265625,0.0,8192,1.0,4368,0.533203125,16251.2978515625,121.4208984375,6.021923107982854,0.05986972021574557,0.533203125,0.16855141874999902,0.16513288828124928,0,8,,0,1.875429356537669,14,2186,,16251.2978515625,4,38,0.296875,0.1585932343749903,True
0.5,17,17039,1024,0,0,34,34,0.265625,0.0,8192,1.0,3643,0.4447021484375,1119.9619140625,27.8662109375,17.63877106763562,0.293388796555084,0.4447021484375,0.16855141874999902,0.16513288828124928,0,8,,4,2.247666117517847,7,1990,,1119.9619140625,4,38,0.296875,0.1585932343749903,True
0.5,18,7166,1024,0,0,34,34,0.265625,0.0,8192,1.0,4281,0.5225830078125,5793.5791015625,64.3564453125,10.501334199671321,0.12331278666799356,0.5225830078125,0.16855141874999902,0.16513288828124928,0,8,,1,1.9135514018691588,23,1932,,5793.5791015625,4,38,0.296875,0.1585932343749903,True
0.5,19,48310,1024,0,0,34,34,0.265625,0.0,8192,1.0,3921,0.4786376953125,3749.2646484375,50.8271484375,12.391342639247544,0.08871759042776518,0.4786376953125,0.16855141874999902,0.16513288828124928,0,8,,1,2.0887755102040817,12,1929,,3749.2646484375,4,38,0.296875,0.1585932343749903,True
0.5,20,12187,1024,0,0,34,34,0.265625,0.0,8192,1.0,4060,0.49560546875,1905.66796875,39.62109375,15.330331266333596,0.22351185311798907,0.49560546875,0.16855141874999902,0.16513288828124928,0,8,,2,2.017491993101749,10,2025,,1905.66796875,4,38,0.296875,0.1585932343749903,True
0.5,21,20284,1024,0,0,34,34,0.265625,0.0,8192,1.0,3779,0.4613037109375,1136.443359375,21.10546875,17.575325656145598,0.2704496696005358,0.4613037109375,0.16855141874999902,0.16513288828124928,0,8,,2,2.167548967707782,8,1633,,1136.443359375,4,38,0.296875,0.1585932343749903,True
0.5,22,1052,1024,0,0,34,34,0.265625,0.0,8192,1.0,4363,0.5325927734375,9016.7841796875,84.8916015625,8.580286860794835,0.04815972783448272,0.5325927734375,0.16855141874999902,0.16513288828124928,0,8,,0,1.8773498395231545,15,1955,,9016.7841796875,4,38,0.296875,0.1585932343749903,True
0.5,23,13752,1024,0,0,34,34,0.265625,0.0,8192,1.0,2725,0.3326416015625,486.1103515625,11.6884765625,21.263454915345612,0.4237982437855181,0.3326416015625,0.16855141874999902,0.16513288828124928,0,8,,2,3.0055066079295156,8,1512,,486.1103515625,4,38,0.296875,0.1585932343749903,True
