run,image,encode_seconds,decode_seconds
0,0,0.9156048999866471,0.9298640000051819
0,1,0.8920994999934919,0.8352034000126878
0,2,0.6786535999999614,0.6084975999983726
0,3,0.5697847999981605,0.606446199992206
0,4,0.5752579999971204,0.5951688000059221
0,5,0.5826966000022367,0.5903659000032349
0,6,0.6009242000000086,0.5560022999998182
0,7,0.5981581999949412,0.5650653999909991
0,8,0.6100007999921218,0.5842896999965888
0,9,0.5912733000004664,0.5887737000011839
0,10,0.5652693999873009,0.5900781000091229
0,11,0.5671980000042822,0.6005057000002125
0,12,0.5596020999946631,0.6171479000040563
0,13,0.6191768999997294,0.5754730000044219
0,14,0.6008365000016056,0.5572110999928555
0,15,0.6051504999923054,0.5700111000041943
0,16,0.5990815999975894,0.5761095999914687
0,17,0.58198309999716,0.5819933000020683
0,18,0.5838033000036376,0.5979548000032082
0,19,0.5484158999897772,0.6242099000082817
0,20,0.6540747999970336,0.6432206000026781
0,21,0.721556700009387,0.7057160999975167
0,22,0.5846125000098255,0.6183366999903228
0,23,0.6000171000050614,0.6033563999953913
0,24,0.5883701999991899,0.5833770000026561
0,25,0.5774458000087179,0.5741600999899674
0,26,0.6043792999989819,0.56906429999799
0,27,0.6167971999966539,0.584713100004592
0,28,0.5844152000063332,0.5830532999971183
0,29,0.5919735999923432,0.6219105000054697
0,30,0.5795786999951815,0.6081471000070451
0,31,0.5933462000102736,0.5726520999887725
0,32,0.5863151000085054,0.5831472999998368
0,33,0.5896028999995906,0.594392400002107
0,34,0.6152786000020569,0.6589731999993091
0,35,0.58727540000109,0.5950298000097973
0,36,0.6151964999880875,0.6179146000067703
0,37,0.5793344000121579,0.5798547000013059
0,38,0.5833024999883492,0.5738380999973742
0,39,0.5916461000015261,0.5802378999942448
0,40,0.5900982000021031,0.5933334000001196
0,41,0.5797143999952823,0.5836469999921974
0,42,0.5777159999997821,0.5786417000053916
0,43,0.5865835000004154,0.5905766999931075
0,44,0.624815100003616,0.5917231000057654
