threshold,image_index,raw_bytes,zlib_bytes,png_bytes,explicit_bits,omitted_fraction,payload_bytes,file_bytes,header_and_checksum_bytes,payload_bpp,file_bpp,raw_to_file_ratio,encode_seconds,decode_seconds,mse,mae,psnr_db,lossless,bit_error_rate
0.5,0,1024,994,845,0,1.0,0,415,415,0.0,3.2421875,2.4674698795180725,2.944523300000583,1.5568486000047415,1938.4912109375,36.0869140625,15.256165245987068,False,0.5367431640625
0.5,1,1024,1035,890,0,1.0,0,415,415,0.0,3.2421875,2.4674698795180725,1.5630892000044696,1.9506372999967425,3032.263671875,45.5625,13.31313397990509,False,0.4671630859375
0.6,0,1024,994,845,263,0.9678955078125,33,450,417,0.2568359375,3.515625,2.2755555555555556,1.8867953999942984,1.9212311000010232,4363.5478515625,58.3779296875,11.73240617976515,False,0.4801025390625
0.6,1,1024,1035,890,288,0.96484375,36,453,417,0.28125,3.5390625,2.260485651214128,2.1594938000052935,1.7323475000011967,7254.8486328125,68.4560546875,9.524520052409585,False,0.4468994140625
0.75,0,1024,994,845,4801,0.4139404296875,601,1020,419,4.6884765625,7.96875,1.003921568627451,1.7161741000018083,1.749738000005891,3228.12890625,36.21875,13.04129492142761,False,0.16943359375
0.75,1,1024,1035,890,4377,0.4656982421875,548,967,419,4.2744140625,7.5546875,1.0589451913133403,1.9535415999998804,1.8925015999993775,2453.55859375,27.966796875,14.232839269844606,False,0.180419921875
0.9,0,1024,994,845,7972,0.02685546875,997,1415,418,7.78515625,11.0546875,0.7236749116607774,2.0504915000055917,2.0410021000061533,48.271484375,0.650390625,31.293897070469455,False,0.00244140625
0.9,1,1024,1035,890,7790,0.049072265625,974,1392,418,7.607421875,10.875,0.735632183908046,2.0458558999962406,2.122685399997863,96.25390625,1.45703125,28.29661997457285,False,0.0040283203125
0.95,0,1024,994,845,8162,0.003662109375,1021,1440,419,7.970703125,11.25,0.7111111111111111,2.0310562000013306,1.6096369000006234,5.0,0.09375,41.141103565318915,False,0.000244140625
0.95,1,1024,1035,890,8117,0.0091552734375,1015,1434,419,7.9267578125,11.203125,0.7140864714086471,1.6254524000032688,2.2830099999991944,19.0,0.34375,35.34326759915081,False,0.0008544921875
1.0,0,1024,994,845,8192,0.0,1024,1442,418,8.0,11.265625,0.710124826629681,2.049095100002887,2.1505266999956802,0.0,0.0,,True,0.0
1.0,1,1024,1035,890,8192,0.0,1024,1442,418,8.0,11.265625,0.710124826629681,2.2513243000066723,1.6756351000003633,0.0,0.0,,True,0.0
