threshold,image_index,raw_bytes,zlib_bytes,png_bytes,explicit_bits,omitted_fraction,payload_bytes,file_bytes,header_and_checksum_bytes,payload_bpp,file_bpp,raw_to_file_ratio,encode_seconds,decode_seconds,mse,mae,psnr_db,lossless,bit_error_rate
0.6,0,1024,994,845,1041,0.8729248046875,131,549,418,1.0166015625,4.2890625,1.8652094717668488,2.723886299994774,1.8180681000012555,2001.705078125,34.736328125,15.116802699314103,False,0.4168701171875
0.6,1,1024,1035,890,1032,0.8740234375,129,547,418,1.0078125,4.2734375,1.8720292504570384,2.166585099999793,1.7837358999968274,24690.673828125,147.453125,4.205474185324457,False,0.4527587890625
0.75,0,1024,994,845,7344,0.103515625,918,1337,419,7.171875,10.4453125,0.7658937920718025,2.0896080000020447,1.9557071000017459,393.3349609375,5.2294921875,22.183178111847205,False,0.0301513671875
0.75,1,1024,1035,890,7306,0.108154296875,914,1333,419,7.134765625,10.4140625,0.768192048012003,1.8926678999996511,1.6933791999981622,592.703125,7.568359375,20.402431438251497,False,0.0306396484375
1.0,0,1024,994,845,8192,0.0,1024,1442,418,8.0,11.265625,0.710124826629681,1.6295539999991888,1.8621977000002516,0.0,0.0,,True,0.0
1.0,1,1024,1035,890,8192,0.0,1024,1442,418,8.0,11.265625,0.710124826629681,1.987949700000172,1.9188205000027665,0.0,0.0,,True,0.0
