run,image,encode_seconds,decode_seconds
0,0,4.543811600000481,4.764644599999883
0,1,4.81176069999492,4.527235699999437
0,2,4.920415100001264,5.099416500001098
0,3,3.832412799994927,1.9099177999960375
0,4,1.6618220000018482,4.608488800004125
0,5,4.974998199999391,4.586159899998165
0,6,4.938384100001713,5.124909600002866
0,7,5.015412799999467,4.793364600001951
0,8,4.8566525999995065,4.4790795000008075
0,9,4.89946009999403,4.720688500005053
0,10,4.790038400002231,4.78849540000374
0,11,4.863894100002653,4.61296699999366
0,12,4.634102399999392,5.106354499999725
0,13,4.777551700004551,4.961751200004073
0,14,4.8126058999987436,4.852429599995958
0,15,4.594372100000328,4.8489903999943635
0,16,4.401341800003138,4.738539799996943
0,17,4.635178299999097,4.657365500002925
0,18,4.309259099994961,4.607072600003448
0,19,4.569850100000622,4.8043554999967455
0,20,4.59687760000088,4.764380599997821
0,21,4.645236399999703,4.645068500001798
0,22,4.68962399999873,4.631424400002288
0,23,4.81337870000425,4.749752499999886
0,24,4.765036099997815,4.274543799998355
0,25,89.59770189999836,224.8981352999981
0,26,3.6193181999988155,4.771392599999672
0,27,3.190060100001574,3.3386764000024414
0,28,3.3215514999974403,3.0997790999972494
0,29,1.8820685999962734,1.9563872999933665
0,30,1.6129415000032168,2.2440074999976787
0,31,1.703449399996316,1.600147900004231
0,32,1.5894479000053252,1.6350296000018716
0,33,1.7984600000054343,1.7691141000032076
0,34,1.5795205999966129,1.6340904999960912
0,35,3.6626612999971258,20.79068919999554
0,36,1328.740180599998,4.872057700005826
0,37,5.4212649000037345,5.075453400000697
0,38,5.055359199999657,4.163251600002695
0,39,4.091584800000419,3.9935746999981347
0,40,4.030478000000585,2.9279053999998723
0,41,1.3571710000032908,1.390635799994925
0,42,3.686014500002784,3.0588446999972803
0,43,1.3706875999996555,1.4350950000007288
0,44,1.452782299995306,1.5554335999986506
0,45,1.4746249000017997,1.5591115999995964
0,46,1.7136485000009998,1858.4259170000005
0,47,332.4336154000048,2.914134300001024
0,48,3.672009900001285,3.1793784000037704
0,49,2.9996309999987716,2.252816599997459
0,50,2.0017777000030037,1.8009629000007408
0,51,1.361248200002592,1.3998119000025326
0,52,1.3766026000012062,1.408342700000503
0,53,1.4166350000014063,1.3803243999936967
0,54,1.3617919000025722,1.3787937000015518
0,55,1.3485943999985466,1.4034439999959432
0,56,3.9159953000053065,3.715692300000228
0,57,4.067219899996417,4.916351599997142
0,58,5.270160000000033,6.710739199996169
0,59,8.83591599999636,8.575961599999573
0,60,6.739856899999722,6.398205400000734
0,61,7.515030599999591,7.2105936000007205
0,62,5.978092699995614,5.671623599999293
0,63,2.496902400002,1.735320599997067
0,64,3.961564500001259,2.226424100001168
0,65,2.3723948000042583,2.664484100001573
0,66,2.286466500001552,2.593436600000132
0,67,2.6032233000005363,2.135251200001221
0,68,1.9809093000003486,2.231933000002755
0,69,2.0883623999980045,2.725524100002076
0,70,2.998531400000502,3.0111816999997245
0,71,2.7793557999975746,2.941675000001851
0,72,2.8503286999984994,2.8012755000017933
0,73,2.865270899994357,2.921689200004039
0,74,2.998220699999365,2.937315499999386
0,75,2.8089055999953416,3.376308799997787
0,76,3.9702216000005137,2.9624882000061916
0,77,3.1881414000017685,3.0753711000070325
0,78,3.096233000003849,2.908762300001399
0,79,3.059190199994191,3.1400327000010293
0,80,3.207910899996932,2.959298100002343
0,81,2.7432199000031687,2.8738912000044365
0,82,2.9868523000041023,3.071848999999929
0,83,2.9835740999988047,2.770525500003714
0,84,3.1671080000014626,3.065302499999234
0,85,2.9594708000004175,2.8482642999952077
0,86,2.8513356000039494,3.1741868000026443
0,87,2.891852500004461,3.1618751999994856
0,88,2.86657419999392,3.2317086000039126
0,89,3.2358185999983107,3.215784200001508
0,90,2.813326399998914,2.803010000003269
0,91,3.0273425999985193,2.882413599996653
0,92,3.0438169999979436,3.224948299997777
0,93,2.938812799999141,3.050882299998193
0,94,3.060272199996689,3.047599799996533
0,95,3.11390570000367,3.0496809000032954
0,96,3.046618300002592,2.578408399996988
0,97,2.9523630000039702,3.014565900004527
0,98,2.7349934999947436,3.0564895999996224
0,99,3.2102054999995744,3.2488034999987576
1,0,3.0283371999976225,3.1974626000010176
1,1,2.6521326000001864,2.643715800004429
1,2,2.602408099999593,2.6323713999954634
1,3,3.4037154000034207,3.0100482999987435
1,4,2.9921635999999125,2.9836443000021973
1,5,2.875062099999923,2.9532967999984976
