variant,threshold,file_bpp,psnr_db,mse,ssim,omitted_fraction,omitted_error_rate,range_file_bpp,file_bpp_ci95,mse_ci95,val_bce_nats,val_bit_accuracy,val_ece,parameters,train_images,optimizer_steps,train_seconds
bit_only,0.5,0.265625,12.45391833910393,3695.6303662109376,0.14001809952094463,1.0,0.5096539306640625,0.296875,"[0.265625, 0.265625]","[3404.570572998047, 3944.2580308837887]",0.484595860587433,0.7280960083007812,0.011548100014778115,161505,1024,64000,1086.4516203999992
bit_only,0.55,0.2748046875,12.059975219576877,4046.530693359375,0.13780083206056032,0.99913818359375,0.47765957966704703,0.2987109375,"[0.2744140625, 0.275234375]","[3637.830881713867, 4461.93835119629]",0.484595860587433,0.7280960083007812,0.011548100014778115,161505,1024,64000,1086.4516203999992
bit_only,0.6,0.2803125,9.723534179633015,6929.899604492188,0.1299989653532857,0.998660888671875,0.46643576664552017,0.3042578125,"[0.2796875, 0.2809765625]","[6078.122392700196, 7765.4151120605475]",0.484595860587433,0.7280960083007812,0.011548100014778115,161505,1024,64000,1086.4516203999992
bit_only,0.65,0.284296875,9.763975873939003,6865.6676025390625,0.13101123440679602,0.9981781005859375,0.4649131871726748,0.3083984375,"[0.283203125, 0.2854296875]","[6051.216535888672, 7673.754122680663]",0.484595860587433,0.7280960083007812,0.011548100014778115,161505,1024,64000,1086.4516203999992
bit_only,0.7,0.293671875,9.734853705879065,6911.860913085938,0.1301048939878211,0.996927490234375,0.46529926544326256,0.317421875,"[0.2906640625, 0.29758203125000005]","[6041.543678833008, 7731.030935302734]",0.484595860587433,0.7280960083007812,0.011548100014778115,161505,1024,64000,1086.4516203999992
bit_only,0.75,0.328046875,9.90391744361754,6647.963349609375,0.13229534777875104,0.992623291015625,0.46239963500283465,0.3541015625,"[0.31894433593750005, 0.33832617187499997]","[5854.2958189697265, 7399.095660156249]",0.484595860587433,0.7280960083007812,0.011548100014778115,161505,1024,64000,1086.4516203999992
bit_only,0.8,0.7746875,9.670949945418005,7014.316630859375,0.13311321350340882,0.936800537109375,0.45421584072491583,0.829609375,"[0.6703759765625, 0.8863349609375]","[6157.782889892578, 7888.843143798828]",0.484595860587433,0.7280960083007812,0.011548100014778115,161505,1024,64000,1086.4516203999992
bit_only,0.85,2.9767578125,9.627830791719775,7084.3055078125,0.1931293373397923,0.6615869140625,0.39963595905323523,3.0778515625,"[2.6619033203125, 3.278296875]","[6080.628428955079, 8086.552054321289]",0.484595860587433,0.7280960083007812,0.011548100014778115,161505,1024,64000,1086.4516203999992
bit_only,0.9,5.06515625,12.657079641239468,3526.7314990234377,0.4341418290906961,0.4004779052734375,0.258544250262519,4.9227734375,"[4.7613935546875, 5.3262275390625]","[2810.5479404296875, 4296.66084375]",0.484595860587433,0.7280960083007812,0.011548100014778115,161505,1024,64000,1086.4516203999992
bit_only,0.925,5.6780078125,14.136816378960827,2508.41115234375,0.5855984825550979,0.3238897705078125,0.19869182020159762,5.30328125,"[5.395619140625, 5.91845703125]","[1890.6574133300783, 3168.2022316894527]",0.484595860587433,0.7280960083007812,0.011548100014778115,161505,1024,64000,1086.4516203999992
