variant,threshold,file_bpp,psnr_db,mse,ssim,omitted_fraction,omitted_error_rate,range_file_bpp,file_bpp_ci95,mse_ci95,val_bce_nats,val_bit_accuracy,val_ece,parameters,train_images,optimizer_steps,train_seconds
n00032,0.95,6.2887109375,15.899638966832905,1671.53880859375,0.7618385083545627,0.2475439453125,0.1952285145077618,5.8786328125,"[6.022854492187499, 6.551673828125]","[1039.030766845703, 2328.051100585937]",0.5371628559660167,0.7013092041015625,0.04205193145975273,161505,32,64000,1843.5780706000005
n00032,0.975,6.894140625,17.084951022009104,1272.2874951171875,0.8840573333781956,0.1719036865234375,0.1872734309259463,6.0591796875,"[6.6387412109375, 7.1519658203125]","[669.8949991455078, 1887.4365146484374]",0.5371628559660167,0.7013092041015625,0.04205193145975273,161505,32,64000,1843.5780706000005
n00032,0.99,7.884140625,34.3030321530342,24.142216796875,0.9907867297073149,0.04813720703125,0.01711720850027895,6.536328125,"[7.8367529296875, 7.927315429687501]","[20.280270141601562, 28.366549194335935]",0.5371628559660167,0.7013092041015625,0.04205193145975273,161505,32,64000,1843.5780706000005
n00032,1.0,8.265625,,0.0,1.0,0.0,,6.5444140625,"[8.265625, 8.265625]","[0.0, 0.0]",0.5371628559660167,0.7013092041015625,0.04205193145975273,161505,32,64000,1843.5780706000005
n00256,0.5,0.265625,11.833283591312307,4263.359956054687,0.11634590397727373,1.0,0.5072869873046875,0.296875,"[0.265625, 0.265625]","[3977.6819207763674, 4558.730009521484]",0.4979910751571879,0.7217564582824707,0.014000625291231514,161505,256,64000,1851.9537658999998
n00256,0.55,0.2828125,10.689708580030379,5547.655737304687,0.1325474044332841,0.9982366943359375,0.47986653712509425,0.3063671875,"[0.28015625, 0.2863671875]","[5055.376858032227, 6050.579764892578]",0.4979910751571879,0.7217564582824707,0.014000625291231514,161505,256,64000,1851.9537658999998
n00256,0.6,0.2849609375,10.823269685991397,5379.64220703125,0.13519698383498738,0.998004150390625,0.4822650186835297,0.3087890625,"[0.2837490234375, 0.28640625]","[4885.691432128906, 5855.631796875]",0.4979910751571879,0.7217564582824707,0.014000625291231514,161505,256,64000,1851.9537658999998
n00256,0.65,0.3078515625,10.668876014499315,5574.331079101563,0.1359889843848921,0.995155029296875,0.47342348365064624,0.33171875,"[0.29995996093750005, 0.31673144531249997]","[4988.475935546875, 6130.569494262696]",0.4979910751571879,0.7217564582824707,0.014000625291231514,161505,256,64000,1851.9537658999998
n00256,0.7,0.3198046875,9.992452694185141,6513.810073242187,0.1315902466674192,0.9936590576171875,0.46731686702362574,0.343203125,"[0.3140625, 0.325548828125]","[5770.451200439453, 7285.481875976562]",0.4979910751571879,0.7217564582824707,0.014000625291231514,161505,256,64000,1851.9537658999998
n00256,0.75,0.425234375,9.911471224067414,6636.41044921875,0.12414402409260557,0.9804742431640625,0.4634678964074529,0.452421875,"[0.40010937500000004, 0.453287109375]","[5890.4092570800785, 7365.152746582031]",0.4979910751571879,0.7217564582824707,0.014000625291231514,161505,256,64000,1851.9537658999998
