image_index,dataset_index,codec,quality,file_bytes,file_bpp,mse,psnr_db,ssim,lossless
13,18332,jpeg,35,516,4.03125,107.6845703125,27.809268814157733,0.9258936415791739,False
13,18332,jpeg,50,556,4.34375,73.4033203125,29.47364655709564,0.9410810519899192,False
13,18332,jpeg,75,647,5.0546875,39.1474609375,32.203767614367116,0.9707274995490869,False
13,18332,jpeg,90,840,6.5625,12.0048828125,37.33722435886193,0.9909919984122272,False
13,18332,jpeg,95,1017,7.9453125,3.53125,42.65151895704396,0.9971962207646171,False
13,18332,webp,1,126,0.984375,271.552734375,23.792261806293578,0.7970690237983779,False
13,18332,webp,5,150,1.171875,211.1484375,24.884924888774727,0.8345278740297869,False
13,18332,webp,10,178,1.390625,159.861328125,26.09336944108425,0.890769475807796,False
13,18332,webp,20,206,1.609375,104.8095703125,27.92679420356246,0.9313200958602849,False
13,18332,webp,35,248,1.9375,66.9326171875,29.874425538254602,0.9531425574869805,False
13,18332,webp,50,290,2.265625,46.83984375,31.42464923199993,0.9668634173490119,False
13,18332,webp,75,364,2.84375,23.5595703125,34.40912995491892,0.9835507353379628,False
13,18332,webp,90,558,4.359375,5.3154296875,40.875419831906484,0.9963042267805566,False
13,18332,webp,95,690,5.390625,2.236328125,44.63544835167834,0.9983715010151465,False
14,1003,raw,,1024,8.0,0.0,,1.0,True
14,1003,zlib,,999,7.8046875,0.0,,1.0,True
14,1003,png,,934,7.296875,0.0,,1.0,True
14,1003,jpeg,1,356,2.78125,780.7119140625,19.205895538970744,0.5082831648643301,False
14,1003,jpeg,5,375,2.9296875,502.0390625,21.123428509575668,0.7343130404228195,False
14,1003,jpeg,10,409,3.1953125,242.8076171875,24.278180538740454,0.8282075849897848,False
14,1003,jpeg,20,447,3.4921875,147.9189453125,26.430565593000438,0.9003518041815661,False
14,1003,jpeg,35,493,3.8515625,103.7099609375,27.972598901834264,0.9259658815483605,False
14,1003,jpeg,50,528,4.125,80.1220703125,29.093281981585285,0.9434546102610182,False
14,1003,jpeg,75,627,4.8984375,44.498046875,31.647394116852965,0.9700317111315908,False
14,1003,jpeg,90,810,6.328125,11.9560546875,37.35492468014789,0.9915795718508552,False
14,1003,jpeg,95,979,7.6484375,3.6943359375,42.45543976214978,0.9975249075920818,False
14,1003,webp,1,124,0.96875,276.5244140625,23.71346880111275,0.7985626027214288,False
14,1003,webp,5,148,1.15625,182.9462890625,25.507567563157096,0.8764985994929969,False
14,1003,webp,10,182,1.421875,128.341796875,27.047122454434053,0.9037591855224758,False
14,1003,webp,20,222,1.734375,91.3203125,28.525129718824616,0.9402421446685316,False
14,1003,webp,35,256,2.0,59.1142578125,30.41388119538341,0.9552137653864347,False
14,1003,webp,50,298,2.328125,39.1484375,32.20365927773302,0.9716826228537933,False
14,1003,webp,75,376,2.9375,21.5732421875,34.79164941851222,0.9851779434493274,False
14,1003,webp,90,598,4.671875,3.9072265625,42.21211766128725,0.9973805323097469,False
14,1003,webp,95,692,5.40625,2.0390625,45.03649823177498,0.9987204232656985,False
15,22156,raw,,1024,8.0,0.0,,1.0,True
15,22156,zlib,,1027,8.0234375,0.0,,1.0,True
15,22156,png,,918,7.171875,0.0,,1.0,True
15,22156,jpeg,1,356,2.78125,744.2392578125,19.41367786015958,0.577814323189185,False
15,22156,jpeg,5,375,2.9296875,495.2314453125,21.182721479331455,0.7202361906409802,False
15,22156,jpeg,10,402,3.140625,297.9150390625,23.389879334601893,0.8036455109629439,False
15,22156,jpeg,20,450,3.515625,170.759765625,25.806948108231357,0.9041825993519509,False
15,22156,jpeg,35,495,3.8671875,114.93359375,27.526333744088546,0.9277997914247389,False
15,22156,jpeg,50,536,4.1875,82.150390625,28.984707280222267,0.9464475234152048,False
15,22156,jpeg,75,630,4.921875,40.0078125,32.10935554681383,0.9718993296048677,False
15,22156,jpeg,90,804,6.28125,11.8828125,37.3816111646278,0.9923252818617113,False
15,22156,jpeg,95,968,7.5625,3.37109375,42.85309530464551,0.9979082348172312,False
15,22156,webp,1,138,1.078125,257.13671875,24.029162631753927,0.8065847259185099,False
15,22156,webp,5,168,1.3125,182.501953125,25.518128442569452,0.8576924267713646,False
15,22156,webp,10,196,1.53125,133.1025390625,26.88894020717688,0.8920635953248784,False
15,22156,webp,20,212,1.65625,102.80078125,28.01083945709872,0.9223065635154386,False
15,22156,webp,35,266,2.078125,66.1513671875,29.925415364433906,0.9579549289109377,False
15,22156,webp,50,308,2.40625,40.31640625,32.07598548128697,0.9747342399121587,False
15,22156,webp,75,382,2.984375,22.3173828125,34.64437097875388,0.9853468646649687,False
15,22156,webp,90,580,4.53125,5.1884765625,40.980405015979855,0.9966460989271275,False
15,22156,webp,95,706,5.515625,2.21875,44.66971990468741,0.99863283520957,False
16,26453,raw,,1024,8.0,0.0,,1.0,True
16,26453,zlib,,934,7.296875,0.0,,1.0,True
16,26453,png,,761,5.9453125,0.0,,1.0,True
16,26453,jpeg,1,352,2.75,432.9931640625,21.76599320942651,0.5874784703625776,False
16,26453,jpeg,5,363,2.8359375,255.037109375,24.064769834762373,0.7528542850347187,False
16,26453,jpeg,10,386,3.015625,148.412109375,26.416110231311958,0.8547279213789318,False
16,26453,jpeg,20,415,3.2421875,77.802734375,29.220855003421555,0.9053106026440549,False
16,26453,jpeg,35,454,3.546875,47.86328125,31.33077892668188,0.9376816053610644,False
16,26453,jpeg,50,483,3.7734375,31.9677734375,33.08367972249707,0.9535946201548984,False
16,26453,jpeg,75,550,4.296875,15.9326171875,36.10793239383828,0.9740637338023475,False
16,26453,jpeg,90,683,5.3359375,5.619140625,40.634104599534155,0.9925501618911357,False
16,26453,jpeg,95,815,6.3671875,2.41015625,44.31035162146518,0.9965440178498453,False
16,26453,webp,1,98,0.765625,154.25390625,26.24844190163671,0.8092992750313212,False
16,26453,webp,5,116,0.90625,99.91796875,28.134367642611696,0.861930893591001,False
16,26453,webp,10,126,0.984375,72.8115234375,29.508802429659056,0.9047277258652866,False
16,26453,webp,20,144,1.125,50.1865234375,31.124932489516315,0.9322673312374843,False
16,26453,webp,35,166,1.296875,36.921875,32.45796613219429,0.9550323525537214,False
16,26453,webp,50,198,1.546875,26.1162109375,33.96170193176934,0.9642678027977282,False
16,26453,webp,75,242,1.890625,16.619140625,35.92471798186958,0.9774100153473649,False
