threshold,image_index,dataset_index,original_bytes,payload_bits,payload_bytes,header_bytes,file_bytes,file_bpp,payload_bpp,predicted_bits,omitted_fraction,incorrect_omitted_predictions,omitted_error_rate,mse,mae,psnr_db,ssim,bit_error_rate,encode_seconds,decode_seconds,raw_payload_bytes,zlib_payload_bytes,payload_zlib_to_raw_ratio,first_incorrect_omission,mean_gap_between_errors,max_error_run,error_runs,mse_before_first_error_pixel,mse_after_first_error_pixel,encoder_decoder_equal
0.5,0,712,1024,0,0,34,34,0.265625,0.0,8192,1.0,4010,0.489501953125,6946.3857421875,73.8896484375,9.713214642640395,0.07671541106069647,0.489501953125,0.12348190937499481,0.1268541945312478,0,8,,2,2.042654028436019,9,2247,,6946.3857421875,True
0.5,1,24774,1024,0,0,34,34,0.265625,0.0,8192,1.0,3798,0.463623046875,6508.978515625,64.15234375,9.995675228121094,0.04842281045458065,0.463623046875,0.12348190937499481,0.1268541945312478,0,8,,0,2.157229391624967,9,2072,,6508.978515625,True
0.5,2,45142,1024,0,0,34,34,0.265625,0.0,8192,1.0,3833,0.4678955078125,3047.7265625,44.646484375,13.291043607083463,0.07852374571926421,0.4678955078125,0.12348190937499481,0.1268541945312478,0,8,,0,2.137526096033403,8,2051,,3047.7265625,True
0.5,3,27119,1024,0,0,34,34,0.265625,0.0,8192,1.0,4782,0.583740234375,26882.017578125,145.458984375,3.836185001258528,0.013498357910037576,0.583740234375,0.12348190937499481,0.1268541945312478,0,8,,1,1.712403262915708,13,2030,,26882.017578125,True
0.5,4,21139,1024,0,0,34,34,0.265625,0.0,8192,1.0,3887,0.4744873046875,3487.4169921875,47.1201171875,12.705764815795039,0.05740976853893869,0.4744873046875,0.12348190937499481,0.1268541945312478,0,8,,0,2.1078229541945444,12,2087,,3487.4169921875,True
0.5,5,19129,1024,0,0,34,34,0.265625,0.0,8192,1.0,4056,0.4951171875,7884.3984375,70.9296875,9.163117976659716,0.004559882983098652,0.4951171875,0.12348190937499481,0.1268541945312478,0,8,,2,2.0194821208384712,18,1982,,7884.3984375,True
0.5,6,6433,1024,0,0,34,34,0.265625,0.0,8192,1.0,3894,0.475341796875,3076.392578125,47.66015625,13.250386059301464,0.05297145081344077,0.475341796875,0.12348190937499481,0.1268541945312478,0,8,,0,2.103776008219882,8,2044,,3076.392578125,True
0.5,7,38854,1024,0,0,34,34,0.265625,0.0,8192,1.0,3993,0.4874267578125,6571.115234375,67.099609375,9.954412776045945,0.050073833294257575,0.4874267578125,0.12348190937499481,0.1268541945312478,0,8,,3,2.0511022044088176,8,2147,,6571.115234375,True
0.5,8,22489,1024,0,0,34,34,0.265625,0.0,8192,1.0,3904,0.4765625,4684.064453125,56.251953125,11.424574984974855,0.07745051732254614,0.4765625,0.12348190937499481,0.1268541945312478,0,8,,0,2.0983858570330516,11,2109,,4684.064453125,True
0.5,9,31104,1024,0,0,34,34,0.265625,0.0,8192,1.0,4272,0.521484375,18056.6728515625,118.6337890625,5.564426312428102,0.06724225349914324,0.521484375,0.12348190937499481,0.1268541945312478,0,8,,1,1.91711542964177,14,2035,,18056.6728515625,True
