threshold,image_index,dataset_index,original_bytes,payload_bits,payload_bytes,header_bytes,file_bytes,file_bpp,payload_bpp,predicted_bits,omitted_fraction,incorrect_omitted_predictions,omitted_error_rate,mse,mae,psnr_db,ssim,bit_error_rate,encode_seconds,decode_seconds,raw_payload_bytes,zlib_payload_bytes,payload_zlib_to_raw_ratio,first_incorrect_omission,mean_gap_between_errors,max_error_run,error_runs,mse_before_first_error_pixel,mse_after_first_error_pixel,range_payload_bytes,range_file_bytes,range_file_bpp,range_decode_seconds,encoder_decoder_equal
0.5,0,712,1024,0,0,34,34,0.265625,0.0,8192,1.0,3796,0.46337890625,2116.3173828125,33.0654296875,14.874995617448885,0.17335824174485054,0.46337890625,0.16908682499999372,0.15439445078125402,0,8,,2,2.157839262187088,23,1781,,2116.3173828125,4,38,0.296875,0.15252746874999445,True
0.5,1,24774,1024,0,0,34,34,0.265625,0.0,8192,1.0,4340,0.52978515625,3746.548828125,51.130859375,12.394489638117932,0.0709703963854906,0.52978515625,0.16908682499999372,0.15439445078125402,0,8,,0,1.8877621571790735,14,1995,,3746.548828125,4,38,0.296875,0.15252746874999445,True
0.5,2,45142,1024,0,0,34,34,0.265625,0.0,8192,1.0,4723,0.5765380859375,3949.83203125,54.279296875,12.165017334572248,0.07091690140739768,0.5765380859375,0.16908682499999372,0.15439445078125402,0,8,,0,1.7346463362981788,13,2037,,3949.83203125,4,38,0.296875,0.15252746874999445,True
0.5,3,27119,1024,0,0,34,34,0.265625,0.0,8192,1.0,4898,0.597900390625,10938.697265625,98.466796875,7.741147577040513,0.05977043124048359,0.597900390625,0.16908682499999372,0.15439445078125402,0,8,,1,1.6718399019808046,8,1888,,10938.697265625,4,38,0.296875,0.15252746874999445,True
0.5,4,21139,1024,0,0,34,34,0.265625,0.0,8192,1.0,4271,0.5213623046875,3409.3740234375,50.6708984375,12.804057129963994,0.16394576665637708,0.5213623046875,0.16908682499999372,0.15439445078125402,0,8,,0,1.9182669789227167,10,1959,,3409.3740234375,4,38,0.296875,0.15252746874999445,True
0.5,5,19129,1024,0,0,34,34,0.265625,0.0,8192,1.0,4314,0.526611328125,3407.658203125,51.201171875,12.80624333441375,0.06603599230238376,0.526611328125,0.16908682499999372,0.15439445078125402,0,8,,2,1.8986784140969164,14,2081,,3407.658203125,4,38,0.296875,0.15252746874999445,True
0.5,6,6433,1024,0,0,34,34,0.265625,0.0,8192,1.0,4842,0.591064453125,2188.859375,42.08984375,14.7286249999587,0.1600717335995059,0.591064453125,0.16908682499999372,0.15439445078125402,0,8,,0,1.6917992150382153,16,1991,,2188.859375,4,38,0.296875,0.15252746874999445,True
0.5,7,38854,1024,0,0,34,34,0.265625,0.0,8192,1.0,4003,0.4886474609375,3571.349609375,48.3203125,12.60247994295839,0.07087688653133102,0.4886474609375,0.16908682499999372,0.15439445078125402,0,8,,7,2.0449775112443778,16,1962,,3571.349609375,4,38,0.296875,0.15252746874999445,True
0.5,8,22489,1024,0,0,34,34,0.265625,0.0,8192,1.0,4398,0.536865234375,2774.580078125,44.775390625,13.698830972120701,0.12630694216939692,0.536865234375,0.16908682499999372,0.15439445078125402,0,8,,0,1.8626336138276098,12,1897,,2774.580078125,4,38,0.296875,0.15252746874999445,True
0.5,9,31104,1024,0,0,34,34,0.265625,0.0,8192,1.0,3912,0.4775390625,6273.7197265625,71.0068359375,10.155552478332783,0.08715598674763196,0.4775390625,0.16908682499999372,0.15439445078125402,0,8,,1,2.0935822040398877,9,2187,,6273.7197265625,4,38,0.296875,0.15252746874999445,True
0.5,10,21349,1024,0,0,34,34,0.265625,0.0,8192,1.0,4789,0.5845947265625,1231.79296875,27.46484375,17.225426401214612,0.12936782268636493,0.5845947265625,0.16908682499999372,0.15439445078125402,0,8,,0,1.710735171261487,17,1723,,1231.79296875,4,38,0.296875,0.15252746874999445,True
0.5,11,29116,1024,0,0,34,34,0.265625,0.0,8192,1.0,3979,0.4857177734375,4957.87890625,60.28515625,11.177844457353531,0.09352525186874208,0.4857177734375,0.16908682499999372,0.15439445078125402,0,8,,1,2.0588235294117645,15,2037,,4957.87890625,4,38,0.296875,0.15252746874999445,True
0.5,12,10772,1024,0,0,34,34,0.265625,0.0,8192,1.0,4134,0.504638671875,4919.8134765625,61.1005859375,11.211317230670568,0.029458615644506282,0.504638671875,0.16908682499999372,0.15439445078125402,0,8,,2,1.9808855552867166,11,2025,,4919.8134765625,4,38,0.296875,0.15252746874999445,True
0.5,13,18332,1024,0,0,34,34,0.265625,0.0,8192,1.0,4174,0.509521484375,2711.01953125,45.02734375,13.799477144480502,0.07573941259047785,0.509521484375,0.16908682499999372,0.15439445078125402,0,8,,5,1.9616582794152888,14,1965,,2711.01953125,4,38,0.296875,0.15252746874999445,True
0.5,14,1003,1024,0,0,34,34,0.265625,0.0,8192,1.0,4248,0.5185546875,2287.2275390625,34.5029296875,14.537709894208817,0.07057864027750027,0.5185546875,0.16908682499999372,0.15439445078125402,0,8,,1,1.9281846008947492,24,1770,,2287.2275390625,4,38,0.296875,0.15252746874999445,True
